M.L_b.CO2aq Time [a],M.L_b.CO2aq CO2aq [mol/kg]
341600.0,8.636960663140901e-06
341700.0,8.636960663140898e-06
341800.0,8.636960663140903e-06
341900.0,8.6369606631409e-06
342000.0,8.6369606631409e-06
342100.0,8.636960663140896e-06
342200.0,8.636960663140898e-06
342300.0,8.636960663140894e-06
342400.0,8.6369606631409e-06
342500.0,8.636960663140898e-06
342600.0,8.636960663140896e-06
342700.0,8.636960663140901e-06
342800.0,8.636960663140901e-06
342900.0,8.636960663140901e-06
343000.0,8.636960663140898e-06
343100.0,8.6369606631409e-06
343200.0,8.636960663140894e-06
343300.0,8.636960663140898e-06
343400.0,8.636960663140896e-06
343500.0,8.636960663140901e-06
343600.0,8.636960663140898e-06
343700.0,8.6369606631409e-06
343800.0,8.6369606631409e-06
343900.0,8.6369606631409e-06
344000.0,8.636960663140896e-06
344100.0,8.636960663140901e-06
344200.0,8.6369606631409e-06
344300.0,8.636960663140901e-06
344400.0,8.6369606631409e-06
344500.0,8.636960663140901e-06
344600.0,8.636960663140896e-06
344700.0,8.6369606631409e-06
344800.0,8.6369606631409e-06
344900.0,8.636960663140901e-06
345000.0,8.6369606631409e-06
345100.0,8.6369606631409e-06
345200.0,8.636960663140894e-06
345300.0,8.636960663140901e-06
345400.0,8.636960663140896e-06
345500.0,8.636960663140896e-06
345600.0,8.636960663140898e-06
345700.0,8.636960663140901e-06
345800.0,8.636960663140898e-06
345900.0,8.6369606631409e-06
346000.0,8.636960663140896e-06
346100.0,8.6369606631409e-06
346200.0,8.636960663140896e-06
346300.0,8.636960663140898e-06
346400.0,8.636960663140901e-06
346500.0,8.636960663140896e-06
346600.0,8.636960663140898e-06
346700.0,8.636960663140896e-06
346800.0,8.636960663140898e-06
346900.0,8.636960663140896e-06
347000.0,8.636960663140898e-06
347100.0,8.636960663140903e-06
347200.0,8.636960663140898e-06
347300.0,8.636960663140898e-06
347400.0,8.636960663140901e-06
347500.0,8.636960663140896e-06
347600.0,8.636960663140901e-06
347700.0,8.636960663140894e-06
347800.0,8.636960663140898e-06
347900.0,8.636960663140894e-06
348000.0,8.636960663140898e-06
348100.0,8.636960663140896e-06
348200.0,8.6369606631409e-06
348300.0,8.636960663140898e-06
348400.0,8.636960663140898e-06
348500.0,8.636960663140896e-06
348600.0,8.6369606631409e-06
348700.0,8.636960663140896e-06
348800.0,8.6369606631409e-06
348900.0,8.6369606631409e-06
349000.0,8.6369606631409e-06
349100.0,8.636960663140898e-06
349200.0,8.636960663140901e-06
349300.0,8.636960663140896e-06
349400.0,8.636960663140901e-06
349500.0,8.636960663140896e-06
349600.0,8.636960663140898e-06
349700.0,8.636960663140894e-06
349800.0,8.636960663140896e-06
349900.0,8.636960663140898e-06
350000.0,8.636960663140898e-06
350100.0,8.636960663140896e-06
350200.0,8.636960663140901e-06
350300.0,8.6369606631409e-06
350400.0,8.636960663140903e-06
350500.0,8.6369606631409e-06
350600.0,8.636960663140901e-06
350700.0,8.636960663140896e-06
350800.0,8.6369606631409e-06
350900.0,8.6369606631409e-06
351000.0,8.636960663140901e-06
351100.0,8.636960663140898e-06
351200.0,8.636960663140903e-06
351300.0,8.636960663140898e-06
351400.0,8.6369606631409e-06
351500.0,8.636960663140898e-06
351600.0,8.636960663140901e-06
351700.0,8.636960663140898e-06
351800.0,8.636960663140903e-06
351900.0,8.636960663140898e-06
352000.0,8.636960663140901e-06
352100.0,8.636960663140898e-06
352200.0,8.636960663140903e-06
352300.0,8.636960663140898e-06
352400.0,8.6369606631409e-06
352500.0,8.636960663140898e-06
352600.0,8.636960663140903e-06
352700.0,8.636960663140896e-06
352800.0,8.636960663140898e-06
352900.0,8.636960663140898e-06
353000.0,8.636960663140898e-06
353100.0,8.636960663140898e-06
353200.0,8.636960663140903e-06
353300.0,8.636960663140896e-06
353400.0,8.6369606631409e-06
353500.0,8.636960663140898e-06
353600.0,8.636960663140903e-06
353700.0,8.6369606631409e-06
353800.0,8.636960663140901e-06
353900.0,8.636960663140898e-06
354000.0,8.636960663140903e-06
354100.0,8.636960663140898e-06
354200.0,8.636960663140898e-06
354300.0,8.636960663140903e-06
354400.0,8.6369606631409e-06
354500.0,8.636960663140901e-06
354600.0,8.636960663140898e-06
354700.0,8.636960663140901e-06
354800.0,8.6369606631409e-06
354900.0,8.636960663140903e-06
355000.0,8.636960663140898e-06
355100.0,8.6369606631409e-06
355200.0,8.6369606631409e-06
355300.0,8.636960663140901e-06
355400.0,8.636960663140898e-06
355500.0,8.636960663140901e-06
355600.0,8.636960663140898e-06
355700.0,8.636960663140901e-06
355800.0,8.636960663140896e-06
355900.0,8.636960663140901e-06
