M.D_b.pH Time [a],M.D_b.pH pH [mol/kg]
549900.0,7.91228489026285
550000.0,7.912284890262849
550100.0,7.91228489026285
550200.0,7.912284890262849
550300.0,7.91228489026285
550400.0,7.912284890262849
550500.0,7.91228489026285
550600.0,7.912284890262849
550700.0,7.91228489026285
550800.0,7.912284890262849
550900.0,7.91228489026285
551000.0,7.912284890262849
551100.0,7.91228489026285
551200.0,7.912284890262849
551300.0,7.91228489026285
551400.0,7.912284890262849
551500.0,7.91228489026285
551600.0,7.912284890262849
551700.0,7.91228489026285
551800.0,7.912284890262849
551900.0,7.91228489026285
552000.0,7.912284890262849
552100.0,7.91228489026285
552200.0,7.912284890262849
552300.0,7.91228489026285
552400.0,7.912284890262849
552500.0,7.91228489026285
552600.0,7.912284890262849
552700.0,7.91228489026285
552800.0,7.912284890262849
552900.0,7.912284890262849
553000.0,7.912284890262849
553100.0,7.91228489026285
553200.0,7.912284890262849
553300.0,7.91228489026285
553400.0,7.912284890262849
553500.0,7.91228489026285
553600.0,7.912284890262849
553700.0,7.91228489026285
553800.0,7.912284890262849
553900.0,7.91228489026285
554000.0,7.912284890262849
554100.0,7.91228489026285
554200.0,7.912284890262849
554300.0,7.91228489026285
554400.0,7.912284890262849
554500.0,7.91228489026285
554600.0,7.912284890262849
554700.0,7.91228489026285
554800.0,7.912284890262849
554900.0,7.91228489026285
555000.0,7.912284890262849
555100.0,7.91228489026285
555200.0,7.912284890262849
555300.0,7.91228489026285
555400.0,7.912284890262849
555500.0,7.91228489026285
555600.0,7.912284890262849
555700.0,7.91228489026285
555800.0,7.912284890262849
555900.0,7.91228489026285
556000.0,7.912284890262849
556100.0,7.91228489026285
556200.0,7.912284890262849
556300.0,7.91228489026285
556400.0,7.912284890262849
556500.0,7.91228489026285
556600.0,7.912284890262849
556700.0,7.91228489026285
556800.0,7.912284890262849
556900.0,7.91228489026285
557000.0,7.912284890262849
557100.0,7.91228489026285
557200.0,7.912284890262849
557300.0,7.91228489026285
557400.0,7.912284890262849
557500.0,7.91228489026285
557600.0,7.912284890262849
557700.0,7.91228489026285
557800.0,7.912284890262849
557900.0,7.91228489026285
558000.0,7.912284890262849
558100.0,7.91228489026285
558200.0,7.912284890262849
558300.0,7.91228489026285
558400.0,7.912284890262849
558500.0,7.91228489026285
558600.0,7.912284890262849
558700.0,7.91228489026285
558800.0,7.912284890262849
558900.0,7.91228489026285
559000.0,7.912284890262849
559100.0,7.91228489026285
559200.0,7.912284890262849
559300.0,7.91228489026285
559400.0,7.912284890262849
559500.0,7.91228489026285
559600.0,7.912284890262849
559700.0,7.91228489026285
559800.0,7.912284890262849
559900.0,7.91228489026285
560000.0,7.912284890262849
560100.0,7.91228489026285
560200.0,7.91228489026285
560300.0,7.912284890262849
560400.0,7.91228489026285
560500.0,7.912284890262849
560600.0,7.91228489026285
560700.0,7.912284890262849
560800.0,7.91228489026285
560900.0,7.912284890262849
561000.0,7.91228489026285
561100.0,7.912284890262849
561200.0,7.91228489026285
561300.0,7.912284890262849
561400.0,7.91228489026285
561500.0,7.912284890262849
561600.0,7.91228489026285
561700.0,7.912284890262849
561800.0,7.91228489026285
561900.0,7.912284890262849
562000.0,7.91228489026285
562100.0,7.912284890262849
562200.0,7.91228489026285
562300.0,7.912284890262849
562400.0,7.91228489026285
562500.0,7.912284890262849
562600.0,7.91228489026285
562700.0,7.912284890262849
562800.0,7.91228489026285
562900.0,7.912284890262849
563000.0,7.91228489026285
563100.0,7.912284890262849
563200.0,7.91228489026285
563300.0,7.912284890262849
563400.0,7.91228489026285
563500.0,7.912284890262849
563600.0,7.91228489026285
563700.0,7.912284890262849
563800.0,7.91228489026285
563900.0,7.912284890262849
564000.0,7.91228489026285
564100.0,7.912284890262849
564200.0,7.91228489026285
564300.0,7.912284890262849
564400.0,7.91228489026285
564500.0,7.912284890262849
564600.0,7.91228489026285
564700.0,7.912284890262849
564800.0,7.91228489026285
564900.0,7.912284890262849
565000.0,7.91228489026285
565100.0,7.912284890262849
565200.0,7.91228489026285
565300.0,7.912284890262849
565400.0,7.91228489026285
565500.0,7.912284890262849
565600.0,7.91228489026285
565700.0,7.912284890262849
565800.0,7.91228489026285
565900.0,7.912284890262849
566000.0,7.91228489026285
566100.0,7.912284890262849
566200.0,7.91228489026285
566300.0,7.912284890262849
566400.0,7.91228489026285
566500.0,7.912284890262849
566600.0,7.91228489026285
566700.0,7.912284890262849
566800.0,7.91228489026285
566900.0,7.912284890262849
567000.0,7.91228489026285
567100.0,7.912284890262849
567200.0,7.91228489026285
567300.0,7.912284890262849
567400.0,7.91228489026285
567500.0,7.912284890262849
567600.0,7.91228489026285
567700.0,7.912284890262849
567800.0,7.91228489026285
567900.0,7.912284890262849
568000.0,7.91228489026285
568100.0,7.912284890262849
568200.0,7.91228489026285
568300.0,7.912284890262849
568400.0,7.91228489026285
568500.0,7.912284890262849
568600.0,7.91228489026285
568700.0,7.912284890262849
568800.0,7.91228489026285
568900.0,7.912284890262849
569000.0,7.91228489026285
569100.0,7.912284890262849
569200.0,7.91228489026285
569300.0,7.912284890262849
569400.0,7.91228489026285
569500.0,7.912284890262849
569600.0,7.91228489026285
569700.0,7.912284890262849
569800.0,7.91228489026285
569900.0,7.91228489026285
570000.0,7.912284890262849
570100.0,7.91228489026285
570200.0,7.912284890262849
570300.0,7.91228489026285
570400.0,7.912284890262849
570500.0,7.91228489026285
570600.0,7.912284890262849
570700.0,7.91228489026285
570800.0,7.912284890262849
570900.0,7.91228489026285
571000.0,7.912284890262849
571100.0,7.91228489026285
571200.0,7.912284890262849
571300.0,7.91228489026285
571400.0,7.912284890262849
571500.0,7.91228489026285
571600.0,7.912284890262849
571700.0,7.91228489026285
571800.0,7.912284890262849
571900.0,7.91228489026285
572000.0,7.912284890262849
572100.0,7.91228489026285
572200.0,7.912284890262849
572300.0,7.91228489026285
572400.0,7.912284890262849
572500.0,7.91228489026285
572600.0,7.912284890262849
572700.0,7.91228489026285
572800.0,7.912284890262849
572900.0,7.91228489026285
573000.0,7.912284890262849
573100.0,7.91228489026285
573200.0,7.912284890262849
573300.0,7.91228489026285
573400.0,7.912284890262849
573500.0,7.91228489026285
573600.0,7.912284890262849
573700.0,7.91228489026285
573800.0,7.912284890262849
573900.0,7.91228489026285
574000.0,7.912284890262849
574100.0,7.91228489026285
574200.0,7.912284890262849
574300.0,7.91228489026285
574400.0,7.912284890262849
574500.0,7.91228489026285
574600.0,7.912284890262849
574700.0,7.91228489026285
574800.0,7.912284890262849
574900.0,7.91228489026285
575000.0,7.912284890262849
575100.0,7.91228489026285
575200.0,7.912284890262849
575300.0,7.91228489026285
575400.0,7.912284890262849
575500.0,7.91228489026285
575600.0,7.912284890262849
575700.0,7.91228489026285
575800.0,7.912284890262849
575900.0,7.91228489026285
576000.0,7.912284890262849
576100.0,7.91228489026285
576200.0,7.912284890262849
576300.0,7.91228489026285
576400.0,7.912284890262849
576500.0,7.91228489026285
576600.0,7.912284890262849
576700.0,7.91228489026285
576800.0,7.912284890262849
576900.0,7.91228489026285
577000.0,7.912284890262849
577100.0,7.91228489026285
577200.0,7.912284890262849
577300.0,7.91228489026285
577400.0,7.912284890262849
577500.0,7.91228489026285
577600.0,7.912284890262849
577700.0,7.91228489026285
577800.0,7.912284890262849
577900.0,7.91228489026285
578000.0,7.912284890262849
578100.0,7.91228489026285
578200.0,7.912284890262849
578300.0,7.91228489026285
578400.0,7.912284890262849
578500.0,7.91228489026285
578600.0,7.912284890262849
578700.0,7.91228489026285
578800.0,7.912284890262849
578900.0,7.91228489026285
579000.0,7.912284890262849
579100.0,7.91228489026285
579200.0,7.912284890262849
579300.0,7.91228489026285
579400.0,7.912284890262849
579500.0,7.91228489026285
579600.0,7.912284890262849
579700.0,7.91228489026285
579800.0,7.912284890262849
579900.0,7.91228489026285
580000.0,7.912284890262849
580100.0,7.91228489026285
580200.0,7.912284890262849
580300.0,7.91228489026285
580400.0,7.912284890262849
580500.0,7.91228489026285
580600.0,7.912284890262849
580700.0,7.91228489026285
580800.0,7.912284890262849
580900.0,7.91228489026285
581000.0,7.912284890262849
581100.0,7.91228489026285
581200.0,7.912284890262849
581300.0,7.91228489026285
581400.0,7.912284890262849
581500.0,7.91228489026285
581600.0,7.912284890262849
581700.0,7.91228489026285
581800.0,7.912284890262849
581900.0,7.91228489026285
