M.L_b.Hplus Time [a],M.L_b.Hplus Hplus [mol/kg]
389900.0,5.395015419940609e-09
389910.0,5.395015419940609e-09
389920.0,5.395015419940609e-09
389930.0,5.395015419940609e-09
389940.0,5.395015419940609e-09
389950.0,5.395015419940609e-09
389960.0,5.395015419940609e-09
389970.0,5.395015419940609e-09
389980.0,5.395015419940609e-09
389990.0,5.395015419940609e-09
390000.0,5.395015419940609e-09
390010.0,5.395015419940609e-09
390020.0,5.395015419940609e-09
390030.0,5.395015419940609e-09
390040.0,5.395015419940609e-09
390050.0,5.395015419940609e-09
390060.0,5.395015419940609e-09
390070.0,5.395015419940609e-09
390080.0,5.395015419940609e-09
390090.0,5.395015419940609e-09
390100.0,5.395015419940609e-09
390110.0,5.395015419940609e-09
390120.0,5.395015419940609e-09
390130.0,5.395015419940609e-09
390140.0,5.395015419940609e-09
390150.0,5.395015419940609e-09
390160.0,5.395015419940609e-09
390170.0,5.395015419940609e-09
390180.0,5.395015419940609e-09
390190.0,5.395015419940609e-09
390200.0,5.395015419940609e-09
390210.0,5.395015419940609e-09
390220.0,5.395015419940609e-09
390230.0,5.395015419940609e-09
390240.0,5.395015419940609e-09
390250.0,5.395015419940609e-09
390260.0,5.395015419940609e-09
390270.0,5.395015419940609e-09
390280.0,5.395015419940609e-09
390290.0,5.395015419940609e-09
390300.0,5.395015419940609e-09
390310.0,5.395015419940609e-09
390320.0,5.395015419940609e-09
390330.0,5.395015419940609e-09
390340.0,5.395015419940609e-09
390350.0,5.395015419940609e-09
390360.0,5.395015419940609e-09
390370.0,5.395015419940609e-09
390380.0,5.395015419940609e-09
390390.0,5.395015419940609e-09
390400.0,5.395015419940609e-09
390410.0,5.395015419940609e-09
390420.0,5.395015419940609e-09
390430.0,5.395015419940609e-09
390440.0,5.395015419940609e-09
390450.0,5.395015419940609e-09
390460.0,5.395015419940609e-09
390470.0,5.395015419940609e-09
390480.0,5.395015419940609e-09
390490.0,5.395015419940609e-09
390500.0,5.395015419940609e-09
390510.0,5.395015419940609e-09
390520.0,5.395015419940609e-09
390530.0,5.395015419940609e-09
390540.0,5.395015419940609e-09
390550.0,5.395015419940609e-09
390560.0,5.395015419940609e-09
390570.0,5.395015419940609e-09
390580.0,5.395015419940609e-09
390590.0,5.395015419940609e-09
390600.0,5.395015419940609e-09
390610.0,5.395015419940609e-09
390620.0,5.395015419940609e-09
390630.0,5.395015419940609e-09
390640.0,5.395015419940609e-09
390650.0,5.395015419940609e-09
390660.0,5.395015419940609e-09
390670.0,5.395015419940609e-09
390680.0,5.395015419940609e-09
390690.0,5.395015419940609e-09
390700.0,5.395015419940609e-09
390710.0,5.395015419940609e-09
390720.0,5.395015419940609e-09
390730.0,5.395015419940609e-09
390740.0,5.395015419940609e-09
390750.0,5.395015419940609e-09
390760.0,5.395015419940609e-09
390770.0,5.395015419940609e-09
390780.0,5.395015419940609e-09
390790.0,5.395015419940609e-09
390800.0,5.395015419940609e-09
390810.0,5.395015419940609e-09
390820.0,5.395015419940609e-09
390830.0,5.395015419940609e-09
390840.0,5.395015419940609e-09
390850.0,5.395015419940609e-09
390860.0,5.395015419940609e-09
390870.0,5.395015419940609e-09
390880.0,5.395015419940609e-09
390890.0,5.395015419940609e-09
390900.0,5.395015419940609e-09
390910.0,5.395015419940609e-09
390920.0,5.395015419940609e-09
390930.0,5.395015419940609e-09
390940.0,5.395015419940609e-09
390950.0,5.395015419940609e-09
390960.0,5.395015419940609e-09
390970.0,5.395015419940609e-09
390980.0,5.395015419940609e-09
390990.0,5.395015419940609e-09
391000.0,5.395015419940609e-09
391010.0,5.395015419940609e-09
391020.0,5.395015419940609e-09
391030.0,5.395015419940609e-09
391040.0,5.395015419940609e-09
391050.0,5.395015419940609e-09
391060.0,5.395015419940609e-09
391070.0,5.395015419940609e-09
391080.0,5.395015419940609e-09
391090.0,5.395015419940609e-09
391100.0,5.395015419940609e-09
391110.0,5.395015419940609e-09
391120.0,5.395015419940609e-09
391130.0,5.395015419940609e-09
391140.0,5.395015419940609e-09
391150.0,5.395015419940609e-09
