M.L_b.pH Time [a],M.L_b.pH pH [mol/kg]
515700.0,8.268006973781965
515800.0,8.268006973781965
515900.0,8.268006973781965
516000.0,8.268006973781965
516100.0,8.268006973781965
516200.0,8.268006973781965
516300.0,8.268006973781965
516400.0,8.268006973781965
516500.0,8.268006973781965
516600.0,8.268006973781965
516700.0,8.268006973781965
516800.0,8.268006973781965
516900.0,8.268006973781965
517000.0,8.268006973781965
517100.0,8.268006973781965
517200.0,8.268006973781965
517300.0,8.268006973781965
517400.0,8.268006973781965
517500.0,8.268006973781965
517600.0,8.268006973781965
517700.0,8.268006973781965
517800.0,8.268006973781965
517900.0,8.268006973781965
518000.0,8.268006973781965
518100.0,8.268006973781965
518200.0,8.268006973781965
518300.0,8.268006973781965
518400.0,8.268006973781965
518500.0,8.268006973781965
518600.0,8.268006973781965
518700.0,8.268006973781965
518800.0,8.268006973781965
518900.0,8.268006973781965
519000.0,8.268006973781965
519100.0,8.268006973781965
519200.0,8.268006973781965
519300.0,8.268006973781965
519400.0,8.268006973781965
519500.0,8.268006973781965
519600.0,8.268006973781965
519700.0,8.268006973781965
519800.0,8.268006973781965
519900.0,8.268006973781965
520000.0,8.268006973781965
520100.0,8.268006973781965
520200.0,8.268006973781965
520300.0,8.268006973781965
520400.0,8.268006973781965
520500.0,8.268006973781965
520600.0,8.268006973781965
520700.0,8.268006973781965
520800.0,8.268006973781965
520900.0,8.268006973781965
521000.0,8.268006973781965
521100.0,8.268006973781965
521200.0,8.268006973781965
521300.0,8.268006973781965
521400.0,8.268006973781965
521500.0,8.268006973781965
521600.0,8.268006973781965
521700.0,8.268006973781965
521800.0,8.268006973781965
521900.0,8.268006973781965
522000.0,8.268006973781965
522100.0,8.268006973781965
522200.0,8.268006973781965
522300.0,8.268006973781965
522400.0,8.268006973781965
522500.0,8.268006973781965
522600.0,8.268006973781965
522700.0,8.268006973781965
522800.0,8.268006973781965
522900.0,8.268006973781965
523000.0,8.268006973781965
523100.0,8.268006973781965
523200.0,8.268006973781965
523300.0,8.268006973781965
523400.0,8.268006973781965
523500.0,8.268006973781965
523600.0,8.268006973781965
523700.0,8.268006973781965
523800.0,8.268006973781965
523900.0,8.268006973781965
524000.0,8.268006973781965
524100.0,8.268006973781965
524200.0,8.268006973781965
524300.0,8.268006973781965
524400.0,8.268006973781965
524500.0,8.268006973781965
524600.0,8.268006973781965
524700.0,8.268006973781965
524800.0,8.268006973781965
524900.0,8.268006973781965
525000.0,8.268006973781965
525100.0,8.268006973781965
525200.0,8.268006973781965
525300.0,8.268006973781965
525400.0,8.268006973781965
525500.0,8.268006973781965
525600.0,8.268006973781965
525700.0,8.268006973781965
525800.0,8.268006973781965
525900.0,8.268006973781965
