M.D_b.CO2aq Time [a],M.D_b.CO2aq CO2aq [mol/kg]
888800.0,2.766657677694518e-05
888900.0,2.7666576776945184e-05
889000.0,2.766657677694519e-05
889100.0,2.7666576776945194e-05
889200.0,2.76665767769452e-05
889300.0,2.7666576776945204e-05
889400.0,2.766657677694521e-05
889500.0,2.7666576776945218e-05
889600.0,2.7666576776945218e-05
889700.0,2.766657677694522e-05
889800.0,2.7666576776945228e-05
889900.0,2.766657677694523e-05
890000.0,2.7666576776945238e-05
890100.0,2.766657677694524e-05
890200.0,2.7666576776945248e-05
890300.0,2.766657677694525e-05
890400.0,2.766657677694526e-05
890500.0,2.766657677694527e-05
890600.0,2.7666576776945275e-05
890700.0,2.7666576776945275e-05
890800.0,2.7666576776945275e-05
890900.0,2.766657677694528e-05
891000.0,2.7666576776945285e-05
891100.0,2.766657677694529e-05
891200.0,2.7666576776945296e-05
891300.0,2.76665767769453e-05
891400.0,2.766657677694531e-05
891500.0,2.766657677694531e-05
891600.0,2.7666576776945316e-05
891700.0,2.7666576776945316e-05
891800.0,2.766657677694532e-05
891900.0,2.7666576776945326e-05
892000.0,2.7666576776945333e-05
892100.0,2.7666576776945336e-05
892200.0,2.7666576776945343e-05
892300.0,2.7666576776945343e-05
892400.0,2.7666576776945346e-05
892500.0,2.7666576776945353e-05
892600.0,2.7666576776945357e-05
892700.0,2.7666576776945357e-05
892800.0,2.7666576776945363e-05
892900.0,2.7666576776945367e-05
893000.0,2.7666576776945373e-05
893100.0,2.7666576776945373e-05
893200.0,2.7666576776945377e-05
893300.0,2.7666576776945384e-05
893400.0,2.7666576776945384e-05
893500.0,2.7666576776945384e-05
893600.0,2.7666576776945387e-05
893700.0,2.7666576776945394e-05
893800.0,2.76665767769454e-05
893900.0,2.7666576776945404e-05
894000.0,2.766657677694541e-05
894100.0,2.766657677694541e-05
894200.0,2.7666576776945414e-05
894300.0,2.766657677694542e-05
894400.0,2.7666576776945424e-05
894500.0,2.766657677694543e-05
894600.0,2.7666576776945434e-05
894700.0,2.766657677694544e-05
894800.0,2.7666576776945445e-05
894900.0,2.7666576776945445e-05
895000.0,2.766657677694545e-05
895100.0,2.7666576776945458e-05
895200.0,2.766657677694546e-05
895300.0,2.766657677694547e-05
895400.0,2.7666576776945472e-05
895500.0,2.766657677694548e-05
895600.0,2.7666576776945482e-05
895700.0,2.766657677694549e-05
895800.0,2.7666576776945492e-05
895900.0,2.76665767769455e-05
896000.0,2.7666576776945502e-05
896100.0,2.766657677694551e-05
896200.0,2.7666576776945516e-05
896300.0,2.766657677694552e-05
896400.0,2.7666576776945526e-05
896500.0,2.7666576776945526e-05
896600.0,2.766657677694553e-05
896700.0,2.766657677694553e-05
896800.0,2.7666576776945536e-05
896900.0,2.766657677694554e-05
897000.0,2.7666576776945546e-05
897100.0,2.7666576776945546e-05
897200.0,2.766657677694555e-05
897300.0,2.7666576776945556e-05
897400.0,2.766657677694556e-05
897500.0,2.7666576776945567e-05
897600.0,2.7666576776945573e-05
897700.0,2.7666576776945577e-05
897800.0,2.7666576776945584e-05
897900.0,2.7666576776945587e-05
898000.0,2.7666576776945594e-05
898100.0,2.7666576776945597e-05
898200.0,2.7666576776945604e-05
898300.0,2.7666576776945607e-05
898400.0,2.7666576776945607e-05
898500.0,2.7666576776945614e-05
898600.0,2.7666576776945617e-05
898700.0,2.7666576776945624e-05
898800.0,2.7666576776945628e-05
898900.0,2.7666576776945634e-05
899000.0,2.766657677694564e-05
899100.0,2.766657677694564e-05
899200.0,2.7666576776945645e-05
899300.0,2.766657677694565e-05
899400.0,2.7666576776945655e-05
899500.0,2.766657677694566e-05
899600.0,2.7666576776945665e-05
899700.0,2.7666576776945665e-05
899800.0,2.766657677694567e-05
899900.0,2.7666576776945675e-05
900000.0,2.7666576776945682e-05
900100.0,2.7666576776945685e-05
900200.0,2.7666576776945692e-05
900300.0,2.76665767769457e-05
900400.0,2.7666576776945702e-05
900500.0,2.766657677694571e-05
900600.0,2.7666576776945712e-05
900700.0,2.766657677694572e-05
900800.0,2.7666576776945722e-05
900900.0,2.766657677694573e-05
901000.0,2.7666576776945733e-05
901100.0,2.7666576776945733e-05
901200.0,2.766657677694574e-05
901300.0,2.7666576776945743e-05
901400.0,2.766657677694575e-05
901500.0,2.7666576776945756e-05
901600.0,2.7666576776945756e-05
901700.0,2.766657677694576e-05
901800.0,2.7666576776945766e-05
901900.0,2.766657677694577e-05
902000.0,2.7666576776945777e-05
